,start_station,start_date,Latitude,Longitude,Neighborhood
408,new+hampshire+ave+&+t+st+nw+[formerly+16th+&+u+st+nw],4/1/2012 0:06,38.91557,-77.03788,Dupont Circle
409,new+jersey+ave+&+l+st+nw,8/2/2016 8:42,38.90374,-77.01417,North Capitol Street
410,new+jersey+ave+&+n+st+nw/dunbar+hs,11/5/2013 9:48,38.90723,-77.01544,Truxton Circle
411,new+jersey+ave+&+r+st+nw,5/14/2013 8:01,38.91261,-77.01736,Truxton Circle
412,new+york+ave+&+15th+st+nw,10/9/2010 14:34,38.89879,-77.03364,Connecticut Ave/ K Street
413,new+york+ave+&+hecht+ave+ne,11/12/2015 18:05,38.89938,-77.03198,Northwest Washington
416,north+capitol+st+&+f+st+nw,10/26/2010 14:47,38.89734,-77.00906,Northeast Washington
417,north+capitol+st+&+g+pl+ne,12/13/2013 12:39,38.89957,-77.00909,Swampoodle
421,ohio+dr+&+west+basin+dr+sw+/+mlk+&+fdr+memorials,3/16/2012 9:57,38.88377,-77.04638,Southwest Washington
422,oklahoma+ave+&+d+st+ne,9/11/2015 21:59,38.89475,-76.97439,Kingman Park
424,park+rd+&+holmead+pl+nw,9/20/2010 12:31,38.93093,-77.03087,Columbia Heights
425,pennsylvania+&+minnesota+ave+se,10/16/2010 17:18,38.8734,-76.97076,Fairlawn
431,pleasant+st+&+mlk+ave+se,6/4/2013 11:21,38.86389,-76.99028,Historic Anacostia
433,potomac+&+m+st+nw,4/13/2017 3:49,38.90513,-77.0653,Georgetown
434,potomac+&+pennsylvania+ave+se,9/22/2010 20:38,38.88385,-76.99437,Southeast Washington
436,potomac+ave+&+35th+st+s,10/24/2012 13:40,38.93018,-77.11085,Northwest Washington
437,potomac+ave+&+8th+st+se,10/9/2013 15:03,38.87688,-76.99497,Capitol Riverfront
438,potomac+ave+&+main+line+blvd,6/9/2016 13:03,38.87928,-76.98808,Southeast Washington
443,randle+circle+&+minnesota+ave+ne,9/25/2010 14:05,38.89662,-76.94769,Lower Central NE
444,randle+circle+&+minnesota+ave+se,5/1/2013 20:20,38.87853,-76.96113,Penn Branch
450,rhode+island+&+connecticut+ave+nw,4/1/2017 1:23,38.90417,-77.04026,Connecticut Ave/ K Street
451,rhode+island+ave+&+v+st+ne,7/30/2013 16:33,38.91809,-77.00551,Edgewood
452,rhode+island+ave+metro,2/24/2014 13:17,38.92599,-76.98247,Langdon
460,s+abingdon+st+&+36th+st+s,4/23/2013 22:09,38.88667,-76.95462,Fort Dupont
466,s+glebe+&+potomac+ave,9/20/2010 20:54,38.87928,-76.98808,Southeast Washington
467,s+joyce+&+16th+st+s,11/5/2014 12:36,38.9921,-77.03644,Northwest Washington
470,s+oakland+st+&+columbia+pike,4/24/2013 19:34,38.9091,-77.02497,Shaw
471,s+stafford+&+34th+st+s,7/2/2013 12:37,38.88617,-76.9575,Greenway
472,s+troy+st+&+26th+st+s,4/26/2013 13:39,38.90083,-76.97023,Northeast Washington
482,smithsonian+/+jefferson+dr+&+12th+st+sw,4/2/2012 8:49,38.88866,-77.02819,Southwest Washington
485,south+capitol+&+atlantic+st+sw,4/13/2016 11:34,38.83141,-77.00774,Bellevue
495,tenleytown+/+wisconsin+ave+&+albemarle+st+nw,10/15/2010 20:41,38.94791,-77.07968,Tenleytown
496,thomas+circle,11/19/2011 9:53,38.90566,-77.03149,Mount Vernon Square
504,tysons+one+pl+&+chain+bridge+rd,1/6/2017 8:44,38.92282,-77.10187,Northwest Washington
506,union+market/6th+st+&+neal+pl+ne,11/20/2014 10:13,38.90862,-76.99805,Northeast Washington
507,us+dept+of+state+/+virginia+ave+&+21st+st+nw,10/9/2010 17:29,38.89532,-77.04669,Foggy Bottom
508,usda+/+12th+&+independence+ave+sw,10/5/2010 18:48,38.88757,-77.02818,Southwest Federal Center
511,veterans+pl+&+pershing+dr,2/8/2014 20:04,38.93175,-77.01451,Northwest Washington
515,walter+reed+community+center+/+walter+reed+dr+&+16th+st+s,3/28/2013 6:32,38.9921,-77.03644,Northwest Washington
516,ward+circle+/+american+university,9/30/2010 10:47,38.9379,-77.08544,Cathedral Heights
517,washington+&+independence+ave+sw/hhs,8/2/2013 9:29,38.8875699,-77.02136,Southwest Federal Center
529,white+house+[17th+&+state+pl+nw],4/5/2017 6:23,38.8964,-77.03946,Northwest Washington
538,wisconsin+ave+&+brandywine+st+nw,10/1/2016 10:02,38.94968,-77.0804,Tenleytown
539,wisconsin+ave+&+ingomar+st+nw,3/10/2016 15:23,38.95803,-77.08433,Friendship Heights
